제목,방송 기간,방송 시간,방송 횟수,장르,채널,방송 시작
열여덟의순간,  2019년 7월 22일 ~ 2019년 9월 10일 ,"  월요일, 화요일 오후 9시 30분 ",  16부작 ,  청소년드라마 ,  JTBC ,2019-07-22 00:00:00
시간,  2018년 7월 25일 ~ 2018년 9월 20일 ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,"  범죄, 멜로 ",  문화방송 ,2018-07-25 00:00:00
풀하우스,  2004년 7월 14일 ~ 2004년 9월 2일 ,"  수요일, 목요일 오후 9:50 ~ ",  16부작 ,  로맨틱코미디 ,  한국방송공사 ,2004-07-14 00:00:00
자이언트,  2010년 5월 10일 ~ 2010년 12월 7일 ,"  월요일, 화요일 오후 10시 ",  60부작 ,  시대극 ,  SBS ,2010-05-10 00:00:00
히어로, 2009년 11월 18일 ~ 2010년 1월 14일 ," 수요일, 목요일 09:55 ~ 11:05 ", 16부작 , 드라마 , 문화방송 ,2009-11-18 00:00:00
더킹투하츠, 2012년 3월 21일 ~ 2012년 5월 24일," 매주 수요일, 목요일 밤 9시 55분", 20부작,, 문화방송,2012-03-21 00:00:00
엄마,  2015년 9월 5일 ~ 2016년 2월 21일 ,"  토요일, 일요일 밤 8시 45분 ",  50부작 ,  가족 ,  문화방송 ,2015-09-05 00:00:00
적도의남자,  2012년 3월 21일 ~ 2012년 5월 24일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 5분 ",  20부작 ,"  드라마, 멜로, 복수 ",  한국방송공사 ,2012-03-21 00:00:00
쩐의전쟁,,,  20부작 ,  범죄 ,  SBS ,unknown
왕이된남자,  2019년 1월 7일 ~ 2019년 3월 4일 ,"  매주 월요일, 화요일 오후 9:30~오후 10:55 ",  16부작 + 스페셜 2부작 ,,  tvN ,2019-01-07 00:00:00
부자의탄생,  2010년 3월 1일 ~ 2010년 5월 4일 ,"  매주 월요일, 화요일 밤 9시 55분 ",  20부작 ,,  한국방송공사 ,2010-03-01 00:00:00
명성황후,  2001년 5월 9일 ~ 2002년 7월 18일 ,"  수요일, 목요일 밤 10시 5분 ",  124부작 ,  한국 사극 ,  KBS 2TV ,2001-05-09 00:00:00
구미호외전,  2004년 7월 19일 ~ 2004년 9월 7일 ,"  월요일, 화요일 오후 9:55 ~ ", 16부작 ,,  한국방송공사 ,2004-07-19 00:00:00
마녀의사랑,  2018년 7월 25일 ~ 2018년 8월 30일 ,"  수요일, 목요일 오후 11시 00분 ~ ",  12부작 ,,  MBN ,2018-07-25 00:00:00
하이에나,  ON AIR 2020년 2월 21일 ~  ,"  금요일, 토요일 오후 10:00 ~ ",  부작 ,,  SBS | 넷플릭스 ,unknown
"그겨울,바람이분다", 2013년 2월 13일 ~ 2013년 4월 3일 ," 수요일, 목요일 밤 9시 55분 ~ ", 16부작 ,,,2013-02-13 00:00:00
비밀,  2013년 9월 25일 ~ 2013년 11월 14일 ,"  수요일, 목요일 오후 10시 ",  16부작 ,,  KBS 2TV ,2013-09-25 00:00:00
밤을걷는선비,  2015년 7월 8일 ~ 2015년 9월 10일 ,"  수요일, 목요일 오후 10:00~ ",  20부작 ,, 문화방송 ,2015-07-08 00:00:00
몬스터, 2016년 3월 28일 ~ 9월 20일 ," 월요일, 화요일 밤 10시 ", 50부작 ," 멜로, 액션, 코미디, 범죄, 스릴러 ", 문화방송 ,2016-03-28 00:00:00
추노,  2010년 1월 6일 ~ 2010년 3월 25일 ,"  수요일, 목요일 밤 9시 55분 ~ 11시 15분 ",  24부작 ,,,2010-01-06 00:00:00
사생결단로맨스,  2018년 7월 23일 ~ 2018년 9월 17일 ,"  월요일, 화요일 오후 10:00~11:10 ",  32부작 ,  로맨틱 코미디 ,  문화방송 ,2018-07-23 00:00:00
투윅스,  2013년 8월 7일 ~ 2013년 9월 26일 ,"  수요일, 목요일 10:00 ~ 11:15 ",  16부작 ,"  범죄, 액션 ",  문화방송 ,2013-08-07 00:00:00
바람의나라,  2008년 9월 10일 ~ 2009년 1월 15일 ,"  수요일, 목요일 09:55 ~ 11:05 ",  36부작 ,"  드라마, 퓨전 사극 ",  KBS ,2008-09-10 00:00:00
그녀는거짓말을너무사랑해, 2017년 3월 20일 ~ 2017년 5월 9일 ," 매주 월요일, 화요일 밤 11시", 16부작 ,, tvN,2017-03-20 00:00:00
식객,  2008년 6월 17일 ~ 2008년 9월 9일 ,"  월요일, 화요일 오후 9:55~ ",  24부작 ,,  SBS ,2008-06-17 00:00:00
일리있는사랑,  2014년 12월 1일 ~ 2015년 2월 3일 ,"  월요일, 화요일 오후 11:00~ ",  20부작 ,, tvN ,2014-12-01 00:00:00
행복을주는사람,  2016년 11월 21일 ~ 2017년 5월 12일 ,  월요일 ~ 금요일 오후 7시 15분 ,  118부작 ,  막장 드라마 ,  문화방송 ,2016-11-21 00:00:00
유리화,  2004년 12월 1일 ~ 2005년 2월 3일 ,"  수요일, 목요일 오후 9:55~ ",  18부작 ,,  SBS ,2004-12-01 00:00:00
날녹여주오,  2019년 9월 28일 ~ 2019년 11월 17일 ,"  매주 토요일, 일요일 밤 9시 ",  16부작 ,"  판타지, 로맨스, 미스터리 ",  tvN ,2019-09-28 00:00:00
태양인이제마,  2002년 7월 24일 ~ 2002년 10월 31일 ,"  수요일, 목요일 밤 9시 50분 ",  30부작 ,"  한국 사극, 의학 드라마 ",  KBS 2TV ,2002-07-24 00:00:00
대풍수,  2012년 10월 10일 ~ 2013년 2월 7일 ,"  수요일, 목요일 밤 9:55 ~ 11:05 ",  35부작 ,,  SBS ,2012-10-10 00:00:00
파라다이스목장,   2011년 1월 24일 ~ 2011년 3월 15일 ,"  월요일, 화요일 오후 8:45~ ",  16부작 ,,  SBS ,2011-01-24 00:00:00
싸인,  2011년 1월 5일 ~ 2011년 3월 10일 ,,  20부작 ,  법의학 ,  SBS ,2011-01-05 00:00:00
바람의화원,   2008년 9월 24일 ~ 2008년 12월 4일 ,"  수요일, 목요일 오후 9:55~ ",  20부작 + 스페셜 2부작 ,,  SBS ,2008-09-24 00:00:00
대한민국변호사,  2008년 7월 9일 ~ 2008년 9월 4일 ,"  수요일, 목요일 밤 9시 55분 ~ ",  16부작 ,,  문화방송 ,2008-07-09 00:00:00
크로스,  2018년 1월 29일 ~ 2018년 3월 20일 ,"  매주 월요일, 화요일 밤 9시 30분 ",  16부작 ,"  의학 드라마, 복수물, 드라마 ",  tvN ,2018-01-29 00:00:00
마이시크릿호텔,  2014년 8월 18일 ~ 2014년 10월 14일 ,"  월요일, 화요일 오후 11:00~ ",  16부작 ,, tvN ,2014-08-18 00:00:00
직장의신,  2013년 4월 1일 ~ 2013년 5월 21일 ,"  월요일, 화요일 10:00 ~ 11:05 ",  16부작 ,  드라마 ,  KBS 2TV ,2013-04-01 00:00:00
솔로몬의위증,  2016년 12월 16일 ~ 2017년 1월 28일 ,"  매주 금요일, 토요일 오후 8시 30분 ",  12부작 ,,  JTBC ,2016-12-16 00:00:00
사랑비,  2012년 3월 26일 ~ 2012년 5월 29일 ,"  월요일, 화요일 9:55 ~ 11:05 ",  20부작 ,"  드라마, 멜로 ",  KBS ,2012-03-26 00:00:00
라이어게임,  2014년 10월 20일 ~ 2014년 11월 25일 ,"  매주 월요일, 화요일 밤 11시 ",  총 12부작 ,,  tvN ,2014-10-20 00:00:00
병원선,  2017년 8월 30일 ~ 2017년 11월 2일 ,"  수요일, 목요일 오후 10:00 ~ 오후 11:10 ",  40부작 ,,  문화방송 ,2017-08-30 00:00:00
여왕의꽃,  2015년 3월 14일 ~ 2015년 8월 30일 ,"  매주 토요일, 일요일 밤 10시 ",  50부작 ,,  문화방송 ,2015-03-14 00:00:00
마녀유희,   2007년 3월 21일 ~ 2007년 5월 10일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  SBS ,2007-03-21 00:00:00
크리스탈,  1999년 10월 6일 ~ 1999년 11월 25일 ,"  수요일, 목요일 밤 9시 55분 ",  16부작 ,,  SBS ,1999-10-06 00:00:00
백야3.98,  1998년 8월 31일 ~ 1998년 11월 3일 ,"  월요일, 화요일 밤 9시 55분 ",  20부작 ,,  SBS ,1998-08-31 00:00:00
기적,  2006년 12월 9일 ~ 2006년 12월 27일 ,"  매주 토요일, 일요일 밤 9시 40분 ",  4부작 ,,  문화방송 ,2006-12-09 00:00:00
일지매,  2008년 5월 21일 ~ 2008년 7월 24일 ,"  수요일, 목요일 09:55 ~ 10:55 ",  20부작 ,"  사극, 액션, 멜로 ",  서울방송 ,2008-05-21 00:00:00
"금나와라,뚝딱!",  2013년 4월 6일 ~ 2013년 9월 22일 ,"  토요일, 일요일 밤 8시 45분 ",  50부작 ,"  가족, 막장 드라마 ",  문화방송 ,2013-04-06 00:00:00
풍선껌,  2015년 10월 26일 ~ 2015년 12월 15일 ,"  매주 월요일, 화요일 밤 11시 ",  총 16부작 ,,  tvN ,2015-10-26 00:00:00
미스리플리,  2011년 5월 30일 ~ 2011년 7월 19일 ,"  월요일, 화요일 오후 9시 55분~ ",  16부작 ,,  문화방송 ,2011-05-30 00:00:00
우리집에사는남자,  2016년 10월 24일 ~ 2016년 12월 13일 ,"  월요일, 화요일 오후 10:00~11:05 ",  16부작 ,,  KBS 2TV ,2016-10-24 00:00:00
천일의약속,   2011년 10월 17일 ~ 2011년 12월 20일 ,"  월요일, 화요일 오후 9:55~ ",  20부작 ,,  SBS ,2011-10-17 00:00:00
주몽,  2006년 5월 15일 ~ 2007년 3월 6일 ,"  월요일, 화요일 오후 9:55~ ",  81부작 ,,  문화방송 ,2006-05-15 00:00:00
로맨스는별책부록,  2019년 1월 26일 ~ 2019년 3월 17일 ,"  매주 토요일, 일요일 밤 9시 ",  http://news.chosun.com/site/data/html_dir/2018/11/22/2018112201902.html ,,,2019-01-26 00:00:00
쇼트,  2018년 2월 12일 ~ 2018년 2월 20일 ,"  월, 화 21:00 ~ 22:00 ",  4부작 ,"  스포츠, 로맨스 ",  OCN ,2018-02-12 00:00:00
동백꽃필무렵,  2019년 9월 18일 ~ 2019년 11월 21일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  40부작 + 스페셜 2부작 ,,  KBS 2TV | 넷플릭스 ,2019-09-18 00:00:00
왜그래풍상씨,  2019년 1월 9일 ~ 2019년 3월 14일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  40부작 + 스페셜 1부작  ,,  KBS 2TV ,2019-01-09 00:00:00
천번의입맞춤,  2011년 8월 20일 ~ 2012년 2월 5일 ,"  토요일, 일요일 밤 8시 45분 ",  50부작 ,  가족 ,  문화방송 ,2011-08-20 00:00:00
맨몸의소방관,  2017년 1월 12일 ~ 2017년 1월 19일 ,"  수요일, 목요일 오후 10:00~11:10 ",  4부작 ,  드라마 ,  KBS 2TV ,2017-01-12 00:00:00
메디컬탑팀,  2013년 10월 9일 ~ 2013년 12월 12일 ,"  수요일, 목요일 오후 9:55~ ",  20부작 ,,  문화방송 ,2013-10-09 00:00:00
마왕,  2007년 3월 21일 ~ 2007년 5월 24일 ,"  수요일, 목요일 9:55 ~ 10:55 ",  20부작 ,  복수극 ,  KBS 2TV ,2007-03-21 00:00:00
스포트라이트,  2008년 5월 14일 ~ 2008년 7월 3일 ,"  수요일, 목요일 09:40 ~ 10:40 ",  16부작 ,  드라마 ,  문화방송 ,2008-05-14 00:00:00
욱씨남정기,  2016년 3월 18일 ~ 2016년 5월 7일 ,"  금요일, 토요일 오후 8:30~ ",  16부작 ,"  로맨스, 코믹 ",  JTBC ,2016-03-18 00:00:00
궁,,,  24부작 ,"  판타지, 로맨틱 코미디 ",  MBC ,unknown
베토벤바이러스,  2008년 9월 10일 ~ 2008년 11월 12일 ,"  매주 수요일, 목요일 밤 9시 55분 ",  18부작(+스페셜 1부작) ,,  문화방송 ,2008-09-10 00:00:00
굿바이미스터블랙,  2016년 3월 16일 ~ 2016년 5월 19일 ,"  수요일, 목요일 오후 10:00~ ",  20부작 ,"  복수, 멜로 ",  문화방송 ,2016-03-16 00:00:00
더뱅커,  2019년 3월 27일 ~ 2019년 5월 16일 ,"  수요일, 목요일 밤 10시 ~ 11시 10분 ",  32부작 ,,  문화방송 ,2019-03-27 00:00:00
사랑해서남주나,  2013년 9월 28일 ~ 2014년 3월 30일 ,"  토요일, 일요일 밤 8시 45분 ",  50부작 ,  가족 ,  문화방송 ,2013-09-28 00:00:00
호텔킹,  2014년 4월 5일 ~ 2014년 7월 27일 ,"  매주 토요일, 일요일 밤 9시 55분 ",  32부작 ,,  문화방송 ,2014-04-05 00:00:00
식샤를합시다3,  2018년 7월 16일 ~ 2018년 8월 28일 ,"  매주 월요일, 화요일 밤 9시 30분 ",  14부작 ,  드라마 ,  tvN ,2018-07-16 00:00:00
특별근로감독관조장풍,  2019년 4월 8일 ~ 2019년 5월 28일 ,"  매주 월요일, 화요일 오후 10:00 ~ 11:10 ",  32부작 ,,   문화방송 ,2019-04-08 00:00:00
선덕여왕,  2009년 5월 25일 ~ 2009년 12월 22일 ,"  매주 월요일, 화요일 밤 9시 55분 ",  62부작 + 스페셜 1부작 ,  한국 사극 ,  문화방송 ,2009-05-25 00:00:00
내조의여왕,  2009년 3월 16일 ~ 2009년 5월 19일 ,"  월요일, 화요일 오후 9시 55분~ ",  20부작 ,,  문화방송 ,2009-03-16 00:00:00
아임쏘리강남구,  2016년 12월 19일 ~ 2017년 6월 9일 ,  월요일 ~ 금요일 오전 8시 30분 ~ 9시 10분 ,  120부작,,  SBS ,2016-12-19 00:00:00
커피하우스,   2010년 5월 17일 ~ 2010년 7월 27일 ,"  월요일, 화요일 오후 8:45~ ",  16부작 ,,  SBS ,2010-05-17 00:00:00
커피프린스1호점,  2007년 7월 2일 ~ 2007년 8월 27일 ,"  월요일, 화요일 밤 10시~ ",  17부작 ,  드라마 ,  문화방송 ,2007-07-02 00:00:00
초면에사랑합니다,  2019년 5월 6일 ~ 2019년 6월 25일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  32부작 ,  로맨틱 코미디 ,  SBS ,2019-05-06 00:00:00
칠전팔기구해라,  2015년 1월 9일 ~ 2015년 3월 27일 ,"  Mnet,tvN 금요일 밤 11시 ~ ",,,,2015-01-09 00:00:00
너도인간이니?,  2018년 6월 4일 ~ 2018년 8월 7일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  36부작 ,,  KBS 2TV ,2018-06-04 00:00:00
으라차차와이키키2,  2019년 3월 25일 ~ 2019년 5월 14일 ,"  월요일, 화요일 21:30 ~ 23:00 ",  16부작 ,,  JTBC ,2019-03-25 00:00:00
라이프온마스,  2018년 6월 9일 ~ 2018년 8월 5일 ,"  토, 일 10시 20분 ",  16회  ,  수사물 ,  OCN_LOGO.png ,2018-06-09 00:00:00
생일편지, 2019년 9월 11일 ~ 2019년 9월 12일  ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  2부작 ,  멜로 ,  KBS ,2019-09-11 00:00:00
기황후, 2013년 10월 28일 ~ 2014년 4월 29일  , 월요일 ~ 화요일 오후 10시 , 51부작 , 사극 , MBC ,2013-10-28 00:00:00
치즈인더트랩,  2016년 1월 4일 ~ 3월 1일 ,"  매주 월요일, 화요일 밤 11시 ",  16부작 ,,  tvN ,2016-01-04 00:00:00
로맨스가필요해2012,  2012년 6월 20일 ~ 2012년 8월 9일 ,"  수요일, 목요일 밤 11:00 ~ ",  16부작 ,,  tvN ,2012-06-20 00:00:00
딴따라,  2016년 4월 20일 ~ 2016년 6월 16일 ,"  수요일, 목요일 오후 10:00~ ",  18부작 ,"  드라마, 성장 ",  SBS ,2016-04-20 00:00:00
달콤한원수,  2017년 6월 12일 ~ 2017년 12월 1일 ,  월요일 ~ 금요일 오전 8시 30분 ~ 9시 10분 ,  124부작,,  SBS ,2017-06-12 00:00:00
태왕사신기,  2007년 9월 11일 ~ 2007년 12월 5일 ,"  수요일, 목요일 오후 10:00~ ",  24부작 + 스페셜 1부 ,, 문화방송 ,2007-09-11 00:00:00
세잎클로버,  2005년 1월 17일 ~ 2005년 3월 14일 ,"  매주 월요일, 화요일 밤 9시 55분~11시 5분 ",  16부작 ,,  SBS ,2005-01-17 00:00:00
"하이드지킬,나",  2015년 1월 21일 ~ 2015년 3월 26일 ,"  수요일, 목요일 오후 10:00~ ",  20부작 ,  로맨틱 코미디 ,  SBS ,2015-01-21 00:00:00
미스티,  2018년 2월 2일 ~ 2018년 3월 24일 ,"  금요일, 토요일 오후 11시 ",  16부작 ,"  드라마, 미스터리, 멜로 ",  JTBC ,2018-02-02 00:00:00
열여덟스물아홉,  2005년 3월 7일 ~ 2005년 4월 26일 ,"  월요일, 화요일 오후 9:55 ~ ",  16부작 ,  로맨틱 코미디 ,  KBS 2TV ,2005-03-07 00:00:00
추적자THECHASER,  2012년 5월 28일 ~ 2012년 7월 17일 ,"  월요일, 화요일 밤 9시 55분 ",  16부작 ,  드라마 ,  SBS ,2012-05-28 00:00:00
리멤버-아들의전쟁,  2015년 12월 9일 ~ 2016년 2월 18일 ,"  수요일, 목요일 오후 10:00~ ",  20부작 ,"  법정, 범죄   박성웅 ",  SBS ,2015-12-09 00:00:00
추리의여왕,  2017년 4월 5일 ~ 2017년 5월 25일 ,"  수요일, 목요일 오후 10:00 ~ 11:10 ",  16부작 ,,  KBS 2TV ,2017-04-05 00:00:00
연애의발견,  2014년 8월 18일 ~ 2014년 10월 7일 ,"  월요일, 화요일 오후 10:00~11:15 ",  16부작 ,  로맨스 ,  KBS 2TV ,2014-08-18 00:00:00
불야성,  2016년 11월 21일 ~ 2017년 1월 24일  ,"  월요일, 화요일 밤 10시 ",  20부작 ,  드라마  ,  문화방송 ,2016-11-21 00:00:00
태양은가득히,  2014년 2월 17일 ~ 2014년 4월 8일 ,"  월요일, 화요일 오후 10:00 ~ 11:15 ",  16부작 ,,  KBS 2TV ,2014-02-17 00:00:00
신의,  2012년 8월 13일 ~ 2012년 10월 30일 ,"  월요일, 화요일 오후 9:55~ ",  24부작 ,,  SBS ,2012-08-13 00:00:00
황후의품격, 2018년 11월 21일 ~ 2019년 2월 21일 ," 수요일, 목요일 오후 10:00~11:10 ", 52부작 + 스페셜 2부작 ,, SBS ,2018-11-21 00:00:00
"도둑놈,도둑님",  2017년 5월 13일 ~ 2017년 11월 5일  ,"  토요일, 일요일 밤 10시  ",  50부작 ,"  멜로, 범죄, 풍자 ",  문화방송 ,2017-05-13 00:00:00
닥터탐정,  2019년 7월 17일 ~ 2019년 9월 5일  ,"  수요일, 목요일 오후 10시 00분 ~ 11시 10분 ",  16부작  ,  산업 재해 메디컬 수사극 ,  SBS ,2019-07-17 00:00:00
손theguest,  2018년 9월 12일 ~ 2018년 11월 1일 ,"  수요일, 목요일 밤 11시 00분 ",  16부작 ,"  범죄, 스릴러, 공포, 오컬트 ",  OCN ,2018-09-12 00:00:00
파수꾼,  2017년 5월 22일 ~ 2017년 7월 11일 ,"  월요일, 화요일 오후 10시 00분 ~ 11시 10분 ",  32부작 ,"  범죄, 액션, 스릴러 ",  문화방송 문화방송 ,2017-05-22 00:00:00
완벽한아내,  2017년 2월 27일 ~ 2017년 5월 2일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  20부작 ,"  막장 드라마, 미스터리, 스릴러 ",  KBS 2TV ,2017-02-27 00:00:00
모래시계,,,  24부작 ,  시대극 ,  SBS ,unknown
듀얼,  2017년 6월 3일 ~ 2017년 7월 23일  ,,  16부작 ,  범죄 ,  OCN ,2017-06-03 00:00:00
러브홀릭,  2005년 5월 2일 ~ 2005년 6월 21일 ,"  월요일, 화요일 오후 9:55 ~ ",  16부작 ,"  멜로, 드라마 ",  KBS 2TV ,2005-05-02 00:00:00
굿닥터,  2013년 8월 5일 ~ 2013년 10월 8일 ,"  월요일, 화요일 오후 10:00~11:15 ",  20부작 ,  의학 드라마 ,  KBS 2TV ,2013-08-05 00:00:00
화려한유혹, 2015년 10월 5일 ~ 2016년 3월 22일 ," 월요일, 화요일 밤 10시 ", 50부작 ," 멜로, 막장 드라마 ", 문화방송 ,2015-10-05 00:00:00
섬마을선생님,   2004년 6월 2일~ 2004년 7월 22일 ,"   수요일, 목요일 밤 9시 55분 ",  총 16부작 ,,  SBS ,2004-06-02 00:00:00
무사백동수,  2011년 7월 4일 ~ 2011년 10월 10일  ,"  월요일, 화요일 오후 9:55~ ",   29부작 + 스페셜 1부작 ,,  SBS ,2011-07-04 00:00:00
별난며느리,  2015년 8월 17일 ~ 9월 22일 ,"  월요일, 화요일 오후 10:00~11:10  ",  12부작 ,  가족 코미디 ,  KBS 2TV ,2015-08-17 00:00:00
돌아와요아저씨,   2016년 2월 24일 ~ 2016년 4월 14일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,"  드라마, 판타지 ",  SBS ,2016-02-24 00:00:00
야인시대, 2002년 7월 29일 ~ 2003년 9월 30일 ," 월요일, 화요일 오후 10시 ~ 11시 10분 ", 124회 , 시대극 , SBS ,2002-07-29 00:00:00
조작,  2017년 7월 24일 ~ 2017년 9월 12일 ,"  월요일, 화요일 밤 10시 ",  32부작 ,"  범죄, 서스펜스 ",  SBS ,2017-07-24 00:00:00
쓰리데이즈,  2014년 3월 5일 ~ 2014년 5월 1일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,"  첩보, 액션 ",  SBS ,2014-03-05 00:00:00
부활,  2005년 6월 1일 ~ 2005년 8월 18일 ,"  수요일, 목요일 밤 9시 55분 ",  24부작 ,"  스릴러, 복수극, 로맨스, 형사 ",  [KBS 2TV ,2005-06-01 00:00:00
대장금이보고있다,  2018년 10월 11일 ~ 2019년 1월 24일 ,  매주 목요일 밤 11시 10분 ,  16부작 ,  시트콤 ,   문화방송 ,2018-10-11 00:00:00
종합병원2,  2008년 11월 19일 ~ 2009년 1월 15일 ,"  수요일, 목요일 밤 9시 55분 ",  17부작 ,,  문화방송 ,2008-11-19 00:00:00
변혁의사랑,  2017년 10월 14일 ~ 2017년 12월 3일 ,"  매주 토요일, 일요일 밤 9시 ~ ",  16부작 ,  드라마 ,  tvN ,2017-10-14 00:00:00
빅포레스트,  2018년 9월 7일 ~ 2018년 11월 9일 ,  금요일 오후 11:00~ ,  10부작 ,,  tvN ,2018-09-07 00:00:00
99억의여자,  2019년 12월 4일 ~ 2020년 1월 23일 ,"  수, 목 오후 10:00 ~ ",  32부작 ,,  KBS 2TV ,2019-12-04 00:00:00
터널,  2017년 3월 25일 ~ 2017년 5월 21일 ,"  토, 일 22:00 ~ 23:00 ",  16부작 ,  범죄 ,  OCN ,2017-03-25 00:00:00
내생애봄날,  2014년 9월 10일 ~ 2014년 10월 30일 ,"  수요일, 목요일 밤 10시 ",  16부작 ,"  드라마, 멜로 ",  문화방송 ,2014-09-10 00:00:00
장희빈,  1995년 2월 20일 ~ 1995년 9월 26일 ,,  63부작 ,  대하사극 ,  SBS ,1995-02-20 00:00:00
달콤살벌패밀리,  2015년 11월 18일 ~ 2016년 1월 14일 ,"  수요일, 목요일 오후 10:00~ ",  16부작 ,  가족 코미디 조폭미화물 ,  문화방송 ,2015-11-18 00:00:00
마녀의법정,  2017년 10월 9일 ~ 2017년 11월 28일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  16부작 ,,  KBS 2TV ,2017-10-09 00:00:00
번외수사,  2017년 10월 9일 ~ 2017년 11월 28일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  16부작 ,,  KBS 2TV ,2017-10-09 00:00:00
역류,  2017년 11월 13일 ~ 2018년 4월 26일 ,  월요일 ~ 금요일 오전 7시 50분 ~ 8시 30분 ,  119부작 ,,  문화방송 ,2017-11-13 00:00:00
황금의제국,  2013년 7월 1일 ~ 2013년 9월 17일 ,"  월요일, 화요일 10:00 ~ 11:10 ",  24부작 ,"  드라마, 피카레스크(장르) ",  SBS ,2013-07-01 00:00:00
파란만장미스김10억만들기,  2004년 4월 7일 ~ 2004년 5월 27일 ,"  수요일, 목요일 오후 09:55~ ",  16부작 ,"  ""코미디"" 멜로 ",  SBS ,2004-04-07 00:00:00
사의찬미,  2018년 11월 27일 ~ 2018년 12월 4일 ,"  월요일, 화요일 오후 10:00 ~ 11:10 ",  6부작 ,,  한국: SBS 전 세계: Netflix ,2018-11-27 00:00:00
술의나라, 2003년 4월 9일 ~ 2003년 5월 29일 ," 매주 수요일, 목요일 밤 9시 55분~ ", 총 16부작 ,, SBS,2003-04-09 00:00:00
기름진멜로,  2018년 5월 7일 ~ 2018년 7월 17일  ,"  월요일, 화요일 오후 10시 00분 ~ 11시 10분 ",  38부작 ,  로맨틱 코미디 ,  SBS ,2018-05-07 00:00:00
구미호여우누이뎐,  2010년 7월 5일 ~ 2010년 8월 24일 ,"  매주 월요일, 화요일 밤 9시 55분 ",  16부작 ,,  한국방송공사 ,2010-07-05 00:00:00
오로라공주, 2013년 5월 20일 ~ 2013년 12월 20일 , 월요일 ~ 금요일 오후 7시 15분 , 150부작 , 막장 드라마 , 문화방송 ,2013-05-20 00:00:00
햇빛쏟아지다,   2004년 2월 11일 ~ 2004년 4월 1일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  SBS ,2004-02-11 00:00:00
천명,  2013년 4월 24일 ~ 2013년 6월 27일 ,"  수요일, 목요일 밤 10시 ~ 11시 10분 ",  총 20부작 ,,  KBS 2TV ,2013-04-24 00:00:00
남자가사랑할때,   2004년 9월 30일 ~ 2004년 11월 18일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  SBS ,2004-09-30 00:00:00
각시탈,  2012년 5월 30일 ~ 2012년 9월 6일 ,"  수요일, 목요일 9:55 ~ 11:05 ",  28부작 ,"  드라마, 액션, 시대극 ",  한국방송공사 ,2012-05-30 00:00:00
동안미녀,  2011년 5월 2일 ~ 2011년 7월 5일 ,"  월요일, 화요일 09:55 ~ 11:05 ",  20부작 ,  드라마 ,  한국방송공사 ,2011-05-02 00:00:00
트라이앵글, 2014년 5월 5일 ~ 2014년 7월 29일," 월, 화 오후 10:00~", 26부작,,,2014-05-05 00:00:00
"내딸,금사월",  2015년 9월 5일 ~ 2016년 2월 28일 ,"  토요일, 일요일 밤 10시  ",  51부작 ,"  막장 드라마, 아유월드",  문화방송 ,2015-09-05 00:00:00
이브의사랑,  2015년 5월 18일 ~ 2015년 10월 30일 ,  월요일 ~ 금요일 오전 7시 50분 ,  120부작 ,  막장 드라마 ,  문화방송 ,2015-05-18 00:00:00
이웃집꽃미남,  2013년 1월 7일 ~ 2013년 2월 26일 ,"  월요일, 화요일 오후 11:00~ ",  16부작 ,, tvN ,2013-01-07 00:00:00
Dr.깽,  2006년 4월 5일 ~ 2006년 5월 25일 ,"  매주 수요일, 목요일 밤 9시 55분 ",  16부작 ,,  문화방송 ,2006-04-05 00:00:00
총리와나,  2013년 12월 9일 ~ 2014년 2월 4일 ,"  월요일, 화요일 오후 10:00~11:15 ",  17부작 ,,  KBS 2TV ,2013-12-09 00:00:00
아랑사또전,  2012년 8월 15일 ~ 2012년 10월 18일 ,"  수요일, 목요일 10:00 ~ 11:15 ",  20부작 ,"  시대극, 판타지, 로맨스 ",  문화방송 ,2012-08-15 00:00:00
건빵선생과별사탕,   2005년 4월 13일 ~ 2005년 6월 2일 ,"  수요일, 목요일 오후 9:55~ ",  16부작 ,,  SBS ,2005-04-13 00:00:00
동이,  2010년 3월 22일 ~ 2010년 10월 12일 ,"  매주 월요일, 화요일 밤 9시 55분 ",  60부작 ,,  MBC ,2010-03-22 00:00:00
바람이분다,  2019년 5월 27일 ~ 2019년 7월 16일 ,"  월요일, 화요일 오후 9시 30분 ",  16부작 ,  멜로 ,  JTBC ,2019-05-27 00:00:00
